Ad_ID,Ad_Type,Visual_Complexity,Clicks,Time_Spent,Engagement_Score,Age_Group,Gender,Device_Type,CTR,Conversion_Rate,Bounce_Rate,Frame_Data,User_Movement_Data,Age_Group_Numeric,Movement_Numeric,Visual_Complexity_Numeric,Ad_Type_Numeric
1,2D,Medium,211,35,70,18-24,Male,Mobile,5.490054170549525,2.0305796474347564,23.418419939021028,frame_sequence_0,movement_pattern_0,0,0,2,0
2,2D,High,101,14,78,25-34,Male,Desktop,6.27954398711191,2.355607088264675,23.042661704196576,frame_sequence_1,movement_pattern_1,1,2,0,0
3,3D,Low,224,45,72,25-34,Female,Desktop,5.837588191220867,1.7441427146477764,24.87886360757691,frame_sequence_2,movement_pattern_2,1,3,1,1
4,2D,Medium,138,24,79,18-24,Male,Desktop,5.643339826469885,0.7177650827934325,18.027579920447568,frame_sequence_3,movement_pattern_3,0,3,2,0
5,3D,High,92,44,86,45-54,Male,Mobile,6.305493184245778,2.5584491690475155,21.614915767731667,frame_sequence_4,movement_pattern_4,3,1,0,1
6,2D,High,109,29,79,45-54,Male,Tablet,5.556832791516857,1.3448204140331366,19.458577859479295,frame_sequence_5,movement_pattern_5,3,4,0,0
7,AR,High,315,18,79,18-24,Female,Desktop,5.999040135572677,1.6837834904268605,21.26589758794264,frame_sequence_6,movement_pattern_6,0,1,0,2
8,AR,Medium,85,6,75,25-34,Female,Mobile,5.554239599085811,0.10877427496956893,18.11319842590052,frame_sequence_7,movement_pattern_7,1,2,2,2
9,2D,Low,64,16,72,25-34,Male,Desktop,5.830722920899664,0.10557316451351934,21.149138615818114,frame_sequence_8,movement_pattern_8,1,2,1,0
10,3D,Medium,52,27,78,18-24,Male,Tablet,5.822718991606154,1.650538227251096,22.983388648532653,frame_sequence_9,movement_pattern_9,0,1,2,1
11,2D,High,315,8,71,18-24,Male,Mobile,6.066930638420964,0.1508371081490457,17.814286705783477,frame_sequence_10,movement_pattern_10,0,2,0,0
12,2D,Low,78,206,76,18-24,Female,Mobile,5.6531870551034915,1.09136771325624,18.96651427726079,frame_sequence_11,movement_pattern_11,0,3,1,0
13,2D,Low,222,26,70,25-34,Female,Desktop,5.674240709878147,1.3348449301043601,17.67975569725318,frame_sequence_12,movement_pattern_12,1,0,1,0
14,AR,High,171,88,71,35-44,Female,Desktop,5.722550425420924,1.4452020891660355,16.670810405287416,frame_sequence_13,movement_pattern_13,2,4,0,2
15,2D,High,122,13,71,25-34,Female,Mobile,5.560003984811375,1.297090809705037,19.98691043049373,frame_sequence_14,movement_pattern_14,1,3,0,0
